,Id,IDNumber,Email,CompanyId,FullName
0,1,23000,ivan.osuna.ayuste@gmail.com,,Iván Osuna Ayuste
1,2,296666,novirod@gmail.com,7.0,Mario Novi Rod
2,3,2346800,Juan.Garcia@gmail.com,,Juan Garcia Garcia
3,4,3694485,mateusz.aleksander@gmail.com,2.0,Mateusz Aleksander Duda
4,5,7777777,mcantos@gmail.com,1.0,Michael Wilson
5,6,5844692,marta.perez.arribas@gmail.com,,Marta Pérez Arribas
6,7,30000,vcs@gmail.com,3.0,Vicenç Côdina Soler
7,8,665444,Oviedo.Miedo@pepe.es,1.0,Pedro Oviedo Miedo
8,9,77771177,mcantos@gmail.com,1.0,John Spearman
9,10,2300120,primeragl@gmail.com,5.0,Marcelo Buonera
10,11,71620135,bikes@gmail.com,2.0,Mateo Libra
